date,value,ci_lower,ci_upper,indicator,indicator_code
2025-01-01,60.01150557162009,47.84071493976444,72.18229620347574,Account Ownership Rate,ACC_OWNERSHIP
2025-07-01,61.41753546682518,49.246744834969526,73.58832609868084,Account Ownership Rate,ACC_OWNERSHIP
2026-01-01,62.848811755175966,50.67802112332031,75.01960238703163,Account Ownership Rate,ACC_OWNERSHIP
2026-07-01,64.25484165038105,52.0840510185254,76.4256322822367,Account Ownership Rate,ACC_OWNERSHIP
2027-01-01,65.68611793873185,53.5153273068762,77.8569085705875,Account Ownership Rate,ACC_OWNERSHIP
2027-07-01,67.09214783393693,54.92135720208128,79.26293846579259,Account Ownership Rate,ACC_OWNERSHIP
2025-01-01,13.593871800892149,13.593871800892149,13.593871800892149,Digital Payment Usage (MM Proxy),ACC_MM_ACCOUNT
2025-07-01,14.401338342333851,14.401338342333851,14.401338342333851,Digital Payment Usage (MM Proxy),ACC_MM_ACCOUNT
2026-01-01,15.223303592392456,15.223303592392456,15.223303592392456,Digital Payment Usage (MM Proxy),ACC_MM_ACCOUNT
2026-07-01,16.030770133834157,16.030770133834157,16.030770133834157,Digital Payment Usage (MM Proxy),ACC_MM_ACCOUNT
2027-01-01,16.852735383892764,16.852735383892764,16.852735383892764,Digital Payment Usage (MM Proxy),ACC_MM_ACCOUNT
2027-07-01,17.660201925334462,17.660201925334462,17.660201925334462,Digital Payment Usage (MM Proxy),ACC_MM_ACCOUNT
