Year,Point Estimate,95% CI Lower,95% CI Upper,Optimistic,Base,Pessimistic
2025,61.4,49.2,73.6,62.8,61.4,60.0
2026,64.3,52.1,76.4,65.7,64.3,62.9
2027,67.1,54.9,79.3,68.5,67.1,65.7
